4,2019-11-07 00:55:00,Stadion Lokomotiv,Lokomotiv Moskva,Juventus,Group D,1 - 2
4,2019-11-07 03:00:00,Parc des Princes,Paris,Club Brugge,Group A,1 - 0
4,2019-11-07 03:00:00,Estadio Santiago Bernabéu,Real Madrid,Galatasaray,Group A,6 - 0
4,2019-11-07 03:00:00,Stadion Rajko Mitic,Crvena zvezda,Tottenham,Group B,0 - 4
4,2019-11-07 03:00:00,Stadion Maksimir,Dinamo Zagreb,Shakhtar Donetsk,Group C,3 - 3
4,2019-11-07 03:00:00,Stadio San Siro,Atalanta,Man. City,Group C,1 - 1
4,2019-11-07 03:00:00,BayArena,Leverkusen,Atlético,Group D,2 - 1
5,2019-11-27 00:55:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Club Brugge,Group A,1 - 1
5,2019-11-27 00:55:00,Stadion Lokomotiv,Lokomotiv Moskva,Leverkusen,Group D,0 - 2
5,2019-11-27 03:00:00,Estadio Santiago Bernabéu,Real Madrid,Paris,Group A,2 - 2
5,2019-11-27 03:00:00,Stadion Rajko Mitic,Crvena zvezda,Bayern,Group B,0 - 6
5,2019-11-27 03:00:00,Tottenham Hotspur Stadium,Tottenham,Olympiacos,Group B,4 - 2
5,2019-11-27 03:00:00,Stadio San Siro,Atalanta,Dinamo Zagreb,Group C,2 - 0
5,2019-11-27 03:00:00,City of Manchester Stadium,Man. City,Shakhtar Donetsk,Group C,1 - 1
5,2019-11-27 03:00:00,Juventus Stadium,Juventus,Atlético,Group D,1 - 0
5,2019-11-28 00:55:00,Saint Petersburg Stadium,Zenit,Lyon,Group G,2 - 0
5,2019-11-28 00:55:00,Camp de Mestalla,Valencia,Chelsea,Group H,2 - 2
5,2019-11-28 03:00:00,Anfield,Liverpool,Napoli,Group E,1 - 1
5,2019-11-28 03:00:00,KRC Genk Arena,Genk,Salzburg,Group E,1 - 4
5,2019-11-28 03:00:00,Camp Nou,Barcelona,Dortmund,Group F,3 - 1
5,2019-11-28 03:00:00,Eden Arena,Slavia Praha,Internazionale,Group F,1 - 3
5,2019-11-28 03:00:00,RB Arena,Leipzig,Benfica,Group G,2 - 2
